onset	duration	weight	trial_type	Resp	Word
0	0	1	V_only_Quiet_InScanner	NA	polo
2.47	2.456	1	NULL	NA	NULL
4.94	2.301	1	V_only_Quiet_InScanner	No	rich
9.88	4.721	1	V_only_Quiet_InScanner	Yes	flash
14.82	4.722	1	NULL	NA	NULL
17.29	2.301	1	V_only_Quiet_InScanner	NA	stare
19.76	2.449	1	V_only_Quiet_InScanner	No	truth
24.7	4.722	1	NULL	NA	NULL
27.17	2.301	1	AV_p5_SNR	Yes	weather
32.11	4.723	1	NULL	NA	NULL
34.58	2.301	1	AV_p5_SNR	Yes	these
39.52	4.722	1	AV_p5_SNR	NA	floss
41.99	2.446	1	AV_p5_SNR	NA	thorough
44.46	2.452	1	AV_p5_SNR	Yes	wave
49.4	4.722	1	NULL	NA	NULL
51.87	2.301	1	AV_0_SNR	NA	fewer
54.34	2.45	1	AV_0_SNR	NA	although
56.81	2.449	1	AV_0_SNR	Yes	hold
61.75	4.722	1	NULL	NA	NULL
64.22	2.301	1	AV_0_SNR	Yes	wrapper
69.16	4.722	1	AV_0_SNR	NA	need
71.63	2.458	1	NULL	NA	NULL
74.1	2.301	1	A_Quiet	NA	idol
76.57	2.452	1	NULL	NA	NULL
79.04	2.301	1	A_Quiet	NA	power
81.51	2.451	1	A_Quiet	Yes	yoga
86.45	4.722	1	A_Quiet	Yes	final
91.39	4.722	1	A_Quiet	NA	shield
93.86	2.45	1	AV_n5_SNR	Yes	poem
98.8	4.721	1	AV_n5_SNR	NA	trash
101.27	2.457	1	NULL	NA	NULL
103.74	2.301	1	AV_n5_SNR	Yes	flare
108.68	4.722	1	AV_n5_SNR	NA	what
111.15	2.452	1	NULL	NA	NULL
113.62	2.301	1	AV_n5_SNR	Yes	fly
118.56	4.722	1	NULL	NA	NULL
121.03	2.301	1	AV_n10_SNR	NA	dream
123.5	2.454	1	AV_n10_SNR	Yes	switch
128.44	4.722	1	AV_n10_SNR	NA	leather
130.91	2.453	1	AV_n10_SNR	Yes	north
135.85	4.736	1	NULL	NA	NULL
138.32	2.301	1	AV_n10_SNR	NA	fleet
140.79	2.453	1	AV_Quiet	Yes	move
145.73	4.722	1	AV_Quiet	NA	flight
148.2	2.456	1	NULL	NA	NULL
150.67	2.301	1	AV_Quiet	Yes	higher
155.61	4.722	1	AV_Quiet	NA	purple
158.08	2.451	1	NULL	NA	NULL
160.55	2.301	1	AV_Quiet	Yes	halt
165.49	4.722	1	A_Quiet	NA	rest
167.96	2.455	1	A_Quiet	Yes	done
172.9	4.722	1	NULL	NA	NULL
175.37	2.301	1	A_Quiet	Yes	try
180.31	4.722	1	NULL	NA	NULL
182.78	2.301	1	A_Quiet	Yes	deny
187.72	4.722	1	A_Quiet	NA	force
190.19	2.453	1	AV_p5_SNR	Yes	fool
197.6	7.192	1	AV_p5_SNR	NA	themes
200.07	2.46	1	NULL	NA	NULL
202.54	2.301	1	AV_p5_SNR	NA	real
205.01	2.454	1	AV_p5_SNR	Yes	open
209.95	4.722	1	NULL	NA	NULL
212.42	2.301	1	AV_p5_SNR	NA	blew
214.89	2.452	1	AV_0_SNR	NA	gloom
217.36	2.455	1	AV_0_SNR	Yes	reel
222.3	4.722	1	NULL	NA	NULL
224.77	2.301	1	AV_0_SNR	NA	self
227.24	2.442	1	NULL	NA	NULL
229.71	2.301	1	AV_0_SNR	Yes	brave
234.65	4.723	1	AV_0_SNR	Yes	bored
239.59	4.722	1	NULL	NA	NULL
242.06	2.301	1	AV_n5_SNR	Yes	wife
247	4.722	1	AV_n5_SNR	NoRs	hard
251.94	4.722	1	NULL	NA	NULL
254.41	2.301	1	AV_n5_SNR	NA	ruler
256.88	2.45	1	AV_n5_SNR	NA	love
259.35	2.448	1	AV_n5_SNR	NA	bug
261.82	2.458	1	AV_n10_SNR	NA	wore
264.29	2.449	1	NULL	NA	NULL
266.76	2.301	1	AV_n10_SNR	Yes	spoil
271.7	4.722	1	AV_n10_SNR	NA	lap
274.17	2.452	1	AV_n10_SNR	No	water
279.11	4.722	1	NULL	NA	NULL
281.58	2.301	1	AV_n10_SNR	NoRs	fierce
288.99	7.192	1	AV_Quiet	NA	flute
291.46	2.451	1	NULL	NA	NULL
293.93	2.301	1	AV_Quiet	NA	this
296.4	2.449	1	AV_Quiet	Yes	pool
301.34	4.722	1	AV_Quiet	NA	fault
303.81	2.454	1	NULL	NA	NULL
306.28	2.301	1	AV_Quiet	Yes	happy
311.22	4.723	1	V_only_Quiet_InScanner	Yes	movie
316.16	4.722	1	V_only_Quiet_InScanner	NA	cherry
318.63	2.452	1	NULL	NA	NULL
321.1	2.301	1	V_only_Quiet_InScanner	No	realm
326.04	4.722	1	V_only_Quiet_InScanner	NA	stop
328.51	2.448	1	V_only_Quiet_InScanner	NA	apple
330.98	2.452	1	NULL	NA	NULL
