onset	duration	weight	trial_type	Resp	Word
0	0	1	V_only_Quiet_InScanner	NA	polo
2.47	2.448	1	NULL	NA	NULL
4.94	2.301	1	V_only_Quiet_InScanner	Yes	rich
9.88	4.722	1	V_only_Quiet_InScanner	Yes	flash
14.82	4.723	1	NULL	NA	NULL
17.29	2.301	1	V_only_Quiet_InScanner	NA	stare
19.76	2.453	1	V_only_Quiet_InScanner	Yes	truth
24.7	4.722	1	NULL	NA	NULL
27.17	2.301	1	AV_p5_SNR	Yes	weather
32.11	4.722	1	NULL	NA	NULL
34.58	2.301	1	AV_p5_SNR	Yes	these
39.52	4.722	1	AV_p5_SNR	NA	floss
41.99	2.448	1	AV_p5_SNR	NA	thorough
44.46	2.437	1	AV_p5_SNR	Yes	wave
49.4	4.722	1	NULL	NA	NULL
51.87	2.301	1	AV_0_SNR	NA	fewer
54.34	2.449	1	AV_0_SNR	NA	although
56.81	2.451	1	AV_0_SNR	Yes	hold
61.75	4.722	1	NULL	NA	NULL
64.22	2.301	1	AV_0_SNR	No	wrapper
69.16	4.722	1	AV_0_SNR	NA	need
71.63	2.45	1	NULL	NA	NULL
74.1	2.301	1	A_Quiet	NA	idol
76.57	2.454	1	NULL	NA	NULL
79.04	2.301	1	A_Quiet	NA	power
81.51	2.455	1	A_Quiet	Yes	yoga
86.45	4.721	1	A_Quiet	Yes	final
91.39	4.722	1	A_Quiet	NA	shield
93.86	2.454	1	AV_n5_SNR	Yes	poem
98.8	4.722	1	AV_n5_SNR	NA	trash
101.27	2.451	1	NULL	NA	NULL
103.74	2.301	1	AV_n5_SNR	Yes	flare
108.68	4.722	1	AV_n5_SNR	NA	what
111.15	2.438	1	NULL	NA	NULL
113.62	2.301	1	AV_n5_SNR	Yes	fly
118.56	4.723	1	NULL	NA	NULL
121.03	2.301	1	AV_n10_SNR	NA	dream
123.5	2.45	1	AV_n10_SNR	Yes	switch
128.44	4.722	1	AV_n10_SNR	NA	leather
130.91	2.45	1	AV_n10_SNR	NoRs	north
138.32	7.192	1	NULL	NA	NULL
140.79	2.301	1	AV_n10_SNR	NA	fleet
143.26	2.445	1	AV_Quiet	Yes	move
148.2	4.722	1	AV_Quiet	NA	flight
150.67	2.45	1	NULL	NA	NULL
153.14	2.301	1	AV_Quiet	Yes	higher
158.08	4.722	1	AV_Quiet	NA	purple
160.55	2.452	1	NULL	NA	NULL
163.02	2.301	1	AV_Quiet	Yes	halt
167.96	4.722	1	A_Quiet	NA	rest
170.43	2.439	1	A_Quiet	Yes	done
175.37	4.721	1	NULL	NA	NULL
177.84	2.301	1	A_Quiet	Yes	try
182.78	4.722	1	NULL	NA	NULL
185.25	2.301	1	A_Quiet	Yes	deny
190.19	4.722	1	A_Quiet	NA	force
192.66	2.438	1	AV_p5_SNR	NoRs	fool
200.07	7.192	1	AV_p5_SNR	NA	themes
202.54	2.449	1	NULL	NA	NULL
205.01	2.301	1	AV_p5_SNR	NA	real
207.48	2.438	1	AV_p5_SNR	Yes	open
212.42	4.722	1	NULL	NA	NULL
214.89	2.301	1	AV_p5_SNR	NA	blew
217.36	2.452	1	AV_0_SNR	NA	gloom
219.83	2.454	1	AV_0_SNR	Yes	reel
224.77	4.722	1	NULL	NA	NULL
227.24	2.301	1	AV_0_SNR	NA	self
229.71	2.443	1	NULL	NA	NULL
232.18	2.301	1	AV_0_SNR	Yes	brave
237.12	4.722	1	AV_0_SNR	Yes	bored
242.06	4.722	1	NULL	NA	NULL
244.53	2.301	1	AV_n5_SNR	No	wife
249.47	4.722	1	AV_n5_SNR	Yes	hard
254.41	4.722	1	NULL	NA	NULL
256.88	2.301	1	AV_n5_SNR	NA	ruler
259.35	2.437	1	AV_n5_SNR	NA	love
261.82	2.448	1	AV_n5_SNR	NA	bug
264.29	2.451	1	AV_n10_SNR	NA	wore
266.76	2.441	1	NULL	NA	NULL
269.23	2.301	1	AV_n10_SNR	Yes	spoil
274.17	4.723	1	AV_n10_SNR	NA	lap
276.64	2.453	1	AV_n10_SNR	Yes	water
281.58	4.722	1	NULL	NA	NULL
284.05	2.301	1	AV_n10_SNR	Yes	fierce
288.99	4.737	1	AV_Quiet	NA	flute
291.46	2.452	1	NULL	NA	NULL
293.93	2.301	1	AV_Quiet	NA	this
296.4	2.45	1	AV_Quiet	Yes	pool
301.34	4.722	1	AV_Quiet	NA	fault
303.81	2.442	1	NULL	NA	NULL
306.28	2.301	1	AV_Quiet	Yes	happy
311.22	4.722	1	V_only_Quiet_InScanner	Yes	movie
316.16	4.722	1	V_only_Quiet_InScanner	NA	cherry
318.63	2.451	1	NULL	NA	NULL
321.1	2.301	1	V_only_Quiet_InScanner	Yes	realm
326.04	4.722	1	V_only_Quiet_InScanner	NA	stop
328.51	2.449	1	V_only_Quiet_InScanner	NA	apple
330.98	2.449	1	NULL	NA	NULL
