onset	duration	weight	trial_type	Resp	Word
0	0	1	AV_p5_SNR	NA	alone
2.47	2.459	1	NULL	NA	NULL
4.94	2.301	1	AV_p5_SNR	Yes	frame
9.88	4.722	1	AV_p5_SNR	Yes	flea
14.82	4.722	1	AV_p5_SNR	Yes	mall
19.76	4.722	1	NULL	NA	NULL
22.23	2.301	1	AV_p5_SNR	NA	less
24.7	2.456	1	V_only_Quiet_InScanner	Yes	every
29.64	4.722	1	NULL	NA	NULL
32.11	2.301	1	V_only_Quiet_InScanner	NA	poison
34.58	2.453	1	V_only_Quiet_InScanner	Yes	ram
39.52	4.722	1	NULL	NA	NULL
41.99	2.301	1	V_only_Quiet_InScanner	Yes	class
46.93	4.723	1	V_only_Quiet_InScanner	NA	ugly
49.4	2.451	1	AV_Quiet	Yes	either
54.34	4.722	1	NULL	NA	NULL
56.81	2.301	1	AV_Quiet	Yes	seller
61.75	4.722	1	AV_Quiet	Yes	easy
66.69	4.722	1	AV_Quiet	NA	soap
69.16	2.461	1	AV_Quiet	NA	opera
71.63	2.457	1	NULL	NA	NULL
74.1	2.301	1	A_Quiet	Yes	mouse
79.04	4.722	1	A_Quiet	NA	enjoy
81.51	2.438	1	A_Quiet	NA	bought
83.98	2.451	1	NULL	NA	NULL
86.45	2.301	1	A_Quiet	Yes	middle
91.39	4.721	1	NULL	NA	NULL
93.86	2.301	1	A_Quiet	NA	dark
96.33	2.445	1	AV_n10_SNR	NA	job
98.8	2.449	1	NULL	NA	NULL
101.27	2.301	1	AV_n10_SNR	Yes	flame
106.21	4.722	1	NULL	NA	NULL
108.68	2.301	1	AV_n10_SNR	Yes	lunch
113.62	4.722	1	AV_n10_SNR	NA	whose
116.09	2.452	1	AV_n10_SNR	NA	core
118.56	2.453	1	AV_n5_SNR	Yes	pepper
123.5	4.722	1	AV_n5_SNR	NoRs	clock
130.91	7.192	1	AV_n5_SNR	Yes	grief
135.85	4.722	1	NULL	NA	NULL
138.32	2.301	1	AV_n5_SNR	NA	hill
140.79	2.438	1	AV_n5_SNR	NA	fisher
143.26	2.442	1	NULL	NA	NULL
145.73	2.301	1	AV_0_SNR	Yes	fill
150.67	4.722	1	AV_0_SNR	Yes	wealth
155.61	4.722	1	NULL	NA	NULL
158.08	2.301	1	NULL	NA	NULL
160.55	2.301	1	AV_0_SNR	NA	flip
163.02	2.443	1	AV_0_SNR	NA	neither
165.49	2.451	1	AV_0_SNR	NA	birth
167.96	2.457	1	NULL	NA	NULL
170.43	2.301	1	V_only_Quiet_InScanner	Yes	tree
175.37	4.722	1	V_only_Quiet_InScanner	Yes	ruin
180.31	4.722	1	NULL	NA	NULL
182.78	2.301	1	V_only_Quiet_InScanner	NA	push
185.25	2.441	1	V_only_Quiet_InScanner	NA	tell
187.72	2.45	1	V_only_Quiet_InScanner	NA	myth
190.19	2.453	1	AV_Quiet	Yes	left
195.13	4.722	1	NULL	NA	NULL
197.6	2.301	1	AV_Quiet	NA	olive
200.07	2.447	1	AV_Quiet	NA	keeper
202.54	2.457	1	NULL	NA	NULL
205.01	2.301	1	AV_Quiet	NA	liver
207.48	2.438	1	AV_Quiet	Yes	trail
212.42	4.723	1	NULL	NA	NULL
214.89	2.301	1	AV_n10_SNR	Yes	cloth
219.83	4.723	1	AV_n10_SNR	Yes	cola
224.77	4.722	1	AV_n10_SNR	NA	sweet
227.24	2.448	1	AV_n10_SNR	NA	fresh
229.71	2.443	1	NULL	NA	NULL
232.18	2.301	1	AV_n10_SNR	Yes	mother
237.12	4.723	1	NULL	NA	NULL
239.59	2.301	1	AV_n5_SNR	NA	floor
242.06	2.453	1	NULL	NA	NULL
244.53	2.301	1	AV_n5_SNR	NA	bother
247	2.456	1	AV_n5_SNR	Yes	spy
251.94	4.722	1	AV_n5_SNR	NA	fossil
254.41	2.455	1	AV_n5_SNR	Yes	favor
259.35	4.723	1	NULL	NA	NULL
261.82	2.301	1	A_Quiet	Yes	dual
266.76	4.722	1	A_Quiet	Yes	old
271.7	4.722	1	NULL	NA	NULL
274.17	2.301	1	A_Quiet	NA	state
276.64	2.453	1	A_Quiet	NA	lamp
279.11	2.451	1	A_Quiet	Yes	pass
284.05	4.722	1	AV_0_SNR	NA	player
286.52	2.45	1	AV_0_SNR	NA	bridge
288.99	2.45	1	NULL	NA	NULL
291.46	2.301	1	AV_0_SNR	Yes	bike
296.4	4.723	1	AV_0_SNR	Yes	cool
301.34	4.722	1	NULL	NA	NULL
303.81	2.301	1	AV_0_SNR	Yes	fab
308.75	4.722	1	AV_p5_SNR	Yes	shift
318.63	4.722	1	NULL	NA	NULL
321.1	2.301	1	AV_p5_SNR	NA	five
323.57	2.454	1	NULL	NA	NULL
326.04	2.301	1	AV_p5_SNR	NA	space
328.51	2.45	1	AV_p5_SNR	NA	break
