onset	duration	weight	trial_type	Resp	Word
0	0	1	AV_n5_SNR	Yes	weary
4.94	4.722	1	AV_n5_SNR	NA	child
7.41	2.448	1	NULL	NA	NULL
9.88	2.301	1	AV_n5_SNR	Yes	spray
14.82	4.722	1	AV_n5_SNR	Yes	attach
19.76	4.722	1	NULL	NA	NULL
22.23	2.301	1	AV_n5_SNR	NA	horse
24.7	2.435	1	A_Quiet	NA	drive
27.17	2.45	1	A_Quiet	Yes	did
32.11	4.722	1	A_Quiet	NA	clear
34.58	2.447	1	NULL	NA	NULL
37.05	2.301	1	A_Quiet	Yes	worn
41.99	4.722	1	NULL	NA	NULL
44.46	2.301	1	A_Quiet	NA	got
46.93	2.44	1	AV_0_SNR	NA	smith
51.87	2.493	1	NULL	NA	NULL
54.34	2.301	1	AV_0_SNR	Yes	charge
59.28	4.722	1	NULL	NA	NULL
61.75	2.301	1	AV_0_SNR	NA	length
64.22	2.452	1	AV_0_SNR	Yes	foil
69.16	4.722	1	AV_0_SNR	NA	win
71.63	2.449	1	AV_p5_SNR	NA	bubble
74.1	2.45	1	NULL	NA	NULL
76.57	2.301	1	AV_p5_SNR	Yes	hammer
81.51	4.722	1	AV_p5_SNR	Yes	shout
88.92	7.192	1	NULL	NA	NULL
91.39	2.301	1	AV_p5_SNR	Yes	right
96.33	4.722	1	AV_p5_SNR	NA	erase
98.8	2.436	1	NULL	NA	NULL
101.27	2.301	1	V_only_Quiet_InScanner	NA	large
103.74	2.45	1	V_only_Quiet_InScanner	Yes	further
108.68	4.721	1	NULL	NA	NULL
111.15	2.301	1	V_only_Quiet_InScanner	Yes	lower
118.56	7.192	1	V_only_Quiet_InScanner	No	slower
123.5	4.722	1	V_only_Quiet_InScanner	NA	locker
125.97	2.45	1	AV_Quiet	NA	arms
128.44	2.448	1	NULL	NA	NULL
130.91	2.301	1	AV_Quiet	NA	breathe
133.38	2.449	1	AV_Quiet	Yes	rough
138.32	4.723	1	NULL	NA	NULL
140.79	2.301	1	AV_Quiet	Yes	thumb
145.73	4.722	1	AV_Quiet	Yes	better
150.67	4.722	1	AV_n10_SNR	Yes	load
155.61	4.721	1	AV_n10_SNR	No	fox
160.55	4.722	1	AV_n10_SNR	NA	play
165.49	2.483	1	AV_n10_SNR	NA	arch
167.96	2.452	1	NULL	NA	NULL
170.43	2.301	1	AV_n10_SNR	NA	level
172.9	2.451	1	NULL	NA	NULL
175.37	2.301	1	AV_0_SNR	Yes	sofa
180.31	4.722	1	NULL	NA	NULL
182.78	2.301	1	AV_0_SNR	Yes	wear
187.72	4.722	1	AV_0_SNR	NA	ship
190.19	2.452	1	AV_0_SNR	Yes	waves
195.13	4.722	1	NULL	NA	NULL
197.6	2.301	1	AV_0_SNR	NA	rally
200.07	2.455	1	AV_p5_SNR	NA	weave
202.54	2.45	1	AV_p5_SNR	NA	rubber
205.01	2.452	1	AV_p5_SNR	Yes	puppy
209.95	4.722	1	NULL	NA	NULL
212.42	2.301	1	AV_p5_SNR	NA	waste
214.89	2.447	1	AV_p5_SNR	Yes	option
219.83	4.722	1	NULL	NA	NULL
222.3	2.301	1	V_only_Quiet_InScanner	NA	shell
224.77	2.454	1	NULL	NA	NULL
227.24	2.301	1	V_only_Quiet_InScanner	NA	camel
229.71	2.451	1	V_only_Quiet_InScanner	NA	foam
232.18	2.45	1	V_only_Quiet_InScanner	Yes	speech
237.12	4.722	1	V_only_Quiet_InScanner	Yes	relay
242.06	4.722	1	NULL	NA	NULL
244.53	2.301	1	AV_Quiet	NA	appeal
247	2.458	1	NULL	NA	NULL
249.47	2.301	1	AV_Quiet	NA	file
251.94	2.453	1	AV_Quiet	Yes	leader
256.88	4.722	1	AV_Quiet	NA	choose
259.35	2.449	1	NULL	NA	NULL
261.82	2.301	1	AV_Quiet	Yes	frog
266.76	4.722	1	AV_n10_SNR	Yes	palm
271.7	4.722	1	NULL	NA	NULL
274.17	2.301	1	AV_n10_SNR	Yes	back
281.58	7.192	1	AV_n10_SNR	No	aware
288.99	7.192	1	AV_n10_SNR	NA	fellow
291.46	2.449	1	NULL	NA	NULL
293.93	2.301	1	AV_n10_SNR	NA	lame
296.4	2.45	1	NULL	NA	NULL
298.87	2.301	1	AV_n5_SNR	NA	prime
301.34	2.452	1	AV_n5_SNR	Yes	short
306.28	4.722	1	NULL	NA	NULL
308.75	2.301	1	AV_n5_SNR	NA	never
313.69	2.482	1	AV_n5_SNR	Yes	theme
318.63	4.708	1	AV_n5_SNR	NA	store
321.1	2.453	1	A_Quiet	NA	life
323.57	2.452	1	NULL	NA	NULL
326.04	2.301	1	A_Quiet	Yes	fame
330.98	4.722	1	A_Quiet	NA	fine
333.45	2.454	1	A_Quiet	Yes	great
338.39	4.722	1	A_Quiet	Yes	take
345.8	5.54	1	NULL	NA	NULL
