onset	duration	weight	trial_type	Resp	Word
0	0	1	AV_n5_SNR	Yes	weary
4.94	4.722	1	AV_n5_SNR	NA	child
7.41	2.454	1	NULL	NA	NULL
9.88	2.301	1	AV_n5_SNR	NoRs	spray
14.82	4.723	1	AV_n5_SNR	Yes	attach
19.76	4.722	1	NULL	NA	NULL
22.23	2.301	1	AV_n5_SNR	NA	horse
24.7	2.452	1	A_Quiet	NA	drive
27.17	2.455	1	A_Quiet	Yes	did
32.11	4.721	1	A_Quiet	NA	clear
34.58	2.458	1	NULL	NA	NULL
37.05	2.301	1	A_Quiet	Yes	worn
41.99	4.722	1	NULL	NA	NULL
44.46	2.301	1	A_Quiet	NA	got
46.93	2.454	1	AV_0_SNR	NA	smith
51.87	2.484	1	NULL	NA	NULL
54.34	2.301	1	AV_0_SNR	Yes	charge
59.28	4.722	1	NULL	NA	NULL
61.75	2.301	1	AV_0_SNR	NA	length
64.22	2.453	1	AV_0_SNR	Yes	foil
69.16	4.722	1	AV_0_SNR	NA	win
71.63	2.447	1	AV_p5_SNR	NA	bubble
74.1	2.455	1	NULL	NA	NULL
76.57	2.301	1	AV_p5_SNR	Yes	hammer
81.51	4.722	1	AV_p5_SNR	Yes	shout
88.92	7.192	1	NULL	NA	NULL
91.39	2.301	1	AV_p5_SNR	Yes	right
96.33	4.722	1	AV_p5_SNR	NA	erase
98.8	2.443	1	NULL	NA	NULL
101.27	2.301	1	V_only_Quiet_InScanner	NA	large
103.74	2.46	1	V_only_Quiet_InScanner	Yes	further
108.68	4.722	1	NULL	NA	NULL
111.15	2.301	1	V_only_Quiet_InScanner	Yes	lower
116.09	4.722	1	V_only_Quiet_InScanner	Yes	slower
121.03	4.722	1	V_only_Quiet_InScanner	NA	locker
123.5	2.451	1	AV_Quiet	NA	arms
125.97	2.449	1	NULL	NA	NULL
128.44	2.301	1	AV_Quiet	NA	breathe
130.91	2.447	1	AV_Quiet	Yes	rough
135.85	4.722	1	NULL	NA	NULL
138.32	2.301	1	AV_Quiet	Yes	thumb
143.26	4.722	1	AV_Quiet	Yes	better
148.2	4.722	1	AV_n10_SNR	No	load
153.14	4.722	1	AV_n10_SNR	Yes	fox
158.08	4.722	1	AV_n10_SNR	NA	play
163.02	2.497	1	AV_n10_SNR	NA	arch
165.49	2.446	1	NULL	NA	NULL
167.96	2.301	1	AV_n10_SNR	NA	level
170.43	2.448	1	NULL	NA	NULL
172.9	2.301	1	AV_0_SNR	Yes	sofa
177.84	4.723	1	NULL	NA	NULL
180.31	2.301	1	AV_0_SNR	Yes	wear
185.25	4.722	1	AV_0_SNR	NA	ship
187.72	2.439	1	AV_0_SNR	Yes	waves
192.66	4.723	1	NULL	NA	NULL
195.13	2.301	1	AV_0_SNR	NA	rally
197.6	2.459	1	AV_p5_SNR	NA	weave
200.07	2.448	1	AV_p5_SNR	NA	rubber
202.54	2.448	1	AV_p5_SNR	Yes	puppy
207.48	4.722	1	NULL	NA	NULL
209.95	2.301	1	AV_p5_SNR	NA	waste
212.42	2.451	1	AV_p5_SNR	Yes	option
217.36	4.722	1	NULL	NA	NULL
219.83	2.301	1	V_only_Quiet_InScanner	NA	shell
222.3	2.451	1	NULL	NA	NULL
224.77	2.301	1	V_only_Quiet_InScanner	NA	camel
227.24	2.449	1	V_only_Quiet_InScanner	NA	foam
229.71	2.446	1	V_only_Quiet_InScanner	Yes	speech
234.65	4.722	1	V_only_Quiet_InScanner	Yes	relay
239.59	4.722	1	NULL	NA	NULL
242.06	2.301	1	AV_Quiet	NA	appeal
244.53	2.452	1	NULL	NA	NULL
247	2.301	1	AV_Quiet	NA	file
249.47	2.45	1	AV_Quiet	Yes	leader
254.41	4.722	1	AV_Quiet	NA	choose
256.88	2.448	1	NULL	NA	NULL
259.35	2.301	1	AV_Quiet	Yes	frog
264.29	4.723	1	AV_n10_SNR	Yes	palm
269.23	4.722	1	NULL	NA	NULL
271.7	2.301	1	AV_n10_SNR	Yes	back
279.11	7.192	1	AV_n10_SNR	Yes	aware
284.05	4.739	1	AV_n10_SNR	NA	fellow
286.52	2.454	1	NULL	NA	NULL
288.99	2.301	1	AV_n10_SNR	NA	lame
291.46	2.45	1	NULL	NA	NULL
293.93	2.301	1	AV_n5_SNR	NA	prime
296.4	2.452	1	AV_n5_SNR	Yes	short
301.34	4.723	1	NULL	NA	NULL
303.81	2.301	1	AV_n5_SNR	NA	never
308.75	2.487	1	AV_n5_SNR	Yes	theme
313.69	4.723	1	AV_n5_SNR	NA	store
316.16	2.449	1	A_Quiet	NA	life
318.63	2.45	1	NULL	NA	NULL
321.1	2.301	1	A_Quiet	Yes	fame
326.04	4.722	1	A_Quiet	NA	fine
328.51	2.443	1	A_Quiet	Yes	great
333.45	4.722	1	A_Quiet	NA	take
350.74	15.581	1	NULL	NA	NULL
