onset	duration	weight	trial_type	Resp	Word
0	0	1	AV_p5_SNR	NA	alone
2.47	2.452	1	NULL	NA	NULL
4.94	2.301	1	AV_p5_SNR	Yes	frame
9.88	4.722	1	AV_p5_SNR	Yes	flea
14.82	4.722	1	AV_p5_SNR	Yes	mall
19.76	4.722	1	NULL	NA	NULL
22.23	2.301	1	AV_p5_SNR	NA	less
24.7	2.461	1	V_only_Quiet_InScanner	Yes	every
29.64	4.722	1	NULL	NA	NULL
32.11	2.301	1	V_only_Quiet_InScanner	NA	poison
34.58	2.458	1	V_only_Quiet_InScanner	No	ram
39.52	4.722	1	NULL	NA	NULL
41.99	2.301	1	V_only_Quiet_InScanner	Yes	class
46.93	4.722	1	V_only_Quiet_InScanner	NA	ugly
51.87	2.5	1	AV_Quiet	Yes	either
56.81	4.722	1	NULL	NA	NULL
59.28	2.301	1	AV_Quiet	Yes	seller
64.22	4.723	1	AV_Quiet	Yes	easy
69.16	4.726	1	AV_Quiet	NA	soap
71.63	2.46	1	AV_Quiet	NA	opera
74.1	2.457	1	NULL	NA	NULL
76.57	2.301	1	A_Quiet	Yes	mouse
81.51	4.722	1	A_Quiet	NA	enjoy
83.98	2.452	1	A_Quiet	NA	bought
86.45	2.462	1	NULL	NA	NULL
88.92	2.301	1	A_Quiet	Yes	middle
93.86	4.722	1	NULL	NA	NULL
96.33	2.301	1	A_Quiet	NA	dark
98.8	2.457	1	AV_n10_SNR	NA	job
101.27	2.453	1	NULL	NA	NULL
103.74	2.301	1	AV_n10_SNR	Yes	flame
108.68	4.722	1	NULL	NA	NULL
111.15	2.301	1	AV_n10_SNR	Yes	lunch
116.09	4.722	1	AV_n10_SNR	NA	whose
118.56	2.444	1	AV_n10_SNR	NA	core
121.03	2.45	1	AV_n5_SNR	No	pepper
125.97	4.722	1	AV_n5_SNR	Yes	clock
133.38	7.192	1	AV_n5_SNR	Yes	grief
138.32	4.722	1	NULL	NA	NULL
140.79	2.301	1	AV_n5_SNR	NA	hill
143.26	2.451	1	AV_n5_SNR	NA	fisher
145.73	2.446	1	NULL	NA	NULL
148.2	2.301	1	AV_0_SNR	Yes	fill
153.14	4.722	1	AV_0_SNR	Yes	wealth
158.08	4.722	1	NULL	NA	NULL
160.55	2.301	1	NULL	NA	NULL
163.02	2.301	1	AV_0_SNR	NA	flip
165.49	2.456	1	AV_0_SNR	NA	neither
167.96	2.451	1	AV_0_SNR	NA	birth
170.43	2.45	1	NULL	NA	NULL
172.9	2.301	1	V_only_Quiet_InScanner	No	tree
177.84	4.722	1	V_only_Quiet_InScanner	Yes	ruin
182.78	4.722	1	NULL	NA	NULL
185.25	2.301	1	V_only_Quiet_InScanner	NA	push
187.72	2.449	1	V_only_Quiet_InScanner	NA	tell
190.19	2.447	1	V_only_Quiet_InScanner	NA	myth
192.66	2.443	1	AV_Quiet	Yes	left
197.6	4.722	1	NULL	NA	NULL
200.07	2.301	1	AV_Quiet	NA	olive
202.54	2.451	1	AV_Quiet	NA	keeper
205.01	2.45	1	NULL	NA	NULL
207.48	2.301	1	AV_Quiet	NA	liver
209.95	2.449	1	AV_Quiet	Yes	trail
214.89	4.723	1	NULL	NA	NULL
217.36	2.301	1	AV_n10_SNR	Yes	cloth
222.3	4.723	1	AV_n10_SNR	Yes	cola
227.24	4.722	1	AV_n10_SNR	NA	sweet
229.71	2.454	1	AV_n10_SNR	NA	fresh
232.18	2.453	1	NULL	NA	NULL
234.65	2.301	1	AV_n10_SNR	Yes	mother
239.59	4.722	1	NULL	NA	NULL
242.06	2.301	1	AV_n5_SNR	NA	floor
244.53	2.448	1	NULL	NA	NULL
247	2.301	1	AV_n5_SNR	NA	bother
249.47	2.451	1	AV_n5_SNR	NoRs	spy
254.41	4.722	1	AV_n5_SNR	NA	fossil
256.88	2.449	1	AV_n5_SNR	Yes	favor
261.82	4.722	1	NULL	NA	NULL
264.29	2.301	1	A_Quiet	Yes	dual
269.23	4.722	1	A_Quiet	Yes	old
274.17	4.723	1	NULL	NA	NULL
276.64	2.301	1	A_Quiet	NA	state
279.11	2.453	1	A_Quiet	NA	lamp
281.58	2.451	1	A_Quiet	Yes	pass
286.52	4.722	1	AV_0_SNR	NA	player
288.99	2.45	1	AV_0_SNR	NA	bridge
291.46	2.446	1	NULL	NA	NULL
293.93	2.301	1	AV_0_SNR	Yes	bike
298.87	4.722	1	AV_0_SNR	Yes	cool
303.81	4.722	1	NULL	NA	NULL
306.28	2.301	1	AV_0_SNR	Yes	fab
311.22	4.723	1	AV_p5_SNR	Yes	shift
321.1	4.722	1	NULL	NA	NULL
323.57	2.301	1	AV_p5_SNR	NA	five
326.04	2.455	1	NULL	NA	NULL
328.51	2.301	1	AV_p5_SNR	NA	space
330.98	2.452	1	AV_p5_SNR	NA	break
